pair_n,year,codeh,codef,pair_str,export,xpi,import,mpi,gdpf,gdph,gdppcf,gdppch,popf,poph,nrerf,nrerh,border,language,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,eareah,eareaf,europ,eunionh,eunionf,ceep,rexport,rimport,trade,gdp,sim,rfl,rerh,rerf,rer,distance,idh,idf
1,1960,AUS,AUT,AUSAUT,3.7,19.05,8.36,13.5,9.18E+10,1.99E+11,13031.032,19378.371,7047539,10276477,26,0.89,0,0,0,0,0,0,0,0,15988.95,15931.75,15608.42,15559.91,0,0,0,0,0,0,19.42134,61.94636,4.398978,26.39651,-0.83932166,8.755791,4.686617,136.4743,-3.371425,9.679653,1,2
2,1960,AUS,CAN,AUSCAN,36.1,19.05,101.53,13.5,2.95E+11,1.99E+11,16449.777,19378.371,17909009,10276477,0.97,0.89,0,1,1,0,0,0,0,0,15586.66,16123,15391.07,15223.99,0,0,0,0,0,0,189.4893,752.3223,6.847805,26.92528,-0.73124248,7.982278,4.686617,5.090317,-0.0826292,9.654171,1,4
3,1960,AUS,CHE,AUSCHE,4.8,19.05,32.23,13.5,1.63E+11,1.99E+11,30624.716,19378.371,5327827,10276477,4.37,0.89,0,0,0,0,0,0,0,0,16673.2,16612.46,16170.09,16122.7,0,0,0,0,0,0,25.19526,238.8195,5.576005,26.61575,-0.70305735,9.327799,4.686617,22.95367,-1.588767,9.721558,1,5
4,1960,AUS,DEU,AUSDEU,66.8,19.05,153.23,13.5,1.54E+12,1.99E+11,19679.536,19378.371,72814900,10276477,4.2,0.89,0,0,0,0,0,0,0,0,16562.72,16082.09,15935.09,15890.82,0,0,0,0,1,0,350.634,1135.412,7.303874,28.18345,-1.59476,5.707661,4.686617,22.04585,-1.548413,9.71491,1,6
5,1960,AUS,DNK,AUSDNK,1.9,19.05,5.83,13.5,9.41E+10,1.99E+11,20537.546,19378.371,4579603,10276477,6.91,0.89,0,0,0,0,0,0,0,0,16054.1,16052.43,15725.46,15687.46,0,0,0,0,0,0,9.973123,43.19944,3.973542,26.4041,-0.83064787,7.055464,4.686617,36.25566,-2.045885,9.68372,1,7
6,1960,AUS,ESP,AUSESP,0.4,19.05,6.05,13.5,2.25E+11,1.99E+11,7375.7029,19378.371,30455000,10276477,60,0.89,0,0,0,0,0,0,0,0,17699.45,17591.48,17072.92,17016.02,0,0,0,0,0,0,2.099605,44.82961,3.84864,26.77245,-0.69677062,9.392884,4.686617,314.9407,-4.207674,9.781289,1,8
7,1960,AUS,FIN,AUSFIN,0.5,19.05,10.89,13.5,5.40E+10,1.99E+11,12179.393,19378.371,4429634,10276477,3.2,0.89,0,0,0,0,0,0,0,0,15211.41,15227.52,14849.46,14815.12,0,0,0,0,0,0,2.624506,80.69329,4.422662,26.25702,-1.0922786,8.881695,4.686617,16.79684,-1.27648,9.629801,1,9
8,1960,AUS,FRA,AUSFRA,121.6,19.05,42.02,13.5,5.94E+11,1.99E+11,12743.925,19378.371,46621669,10276477,4.94,0.89,0,0,0,0,0,0,0,0,16975.46,16938.09,16513.02,16464.9,0,0,0,0,1,0,638.2798,311.362,6.856085,27.39945,-0.97808135,8.800031,4.686617,25.91469,-1.710099,9.739524,1,10
9,1960,AUS,GBR,AUSGBR,555.1,19.05,867.46,13.5,7.30E+11,1.99E+11,13934.03,19378.371,52400000,10276477,0.36,0.89,0,1,1,1,0,0,0,0,17011.27,17001.95,16602.27,16563.96,0,0,0,0,0,0,2913.726,6427.75,9.14222,27.55768,-1.0884271,8.602332,4.686617,1.874648,0.9162902,9.741632,1,11
10,1960,AUS,GRC,AUSGRC,2.7,19.05,0.88,13.5,5.22E+10,1.99E+11,6259.7931,19378.371,8331725,10276477,30,0.89,0,0,0,0,0,0,0,0,15337.68,15219.61,14845.6,14785.52,0,0,0,0,0,0,14.17233,6.52067,3.029796,26.2499,-1.1118852,9.481785,4.686617,157.4719,-3.514536,9.638068,1,12
11,1960,AUS,IRL,AUSIRL,5.2,19.05,0.22,13.5,3.77E+10,1.99E+11,12745.356,19378.371,2828600,10276477,0.36,0.89,0,1,1,0,0,0,0,0,17230.5,17255.5,16895.03,16859.13,0,0,0,0,0,0,27.29486,1.630167,3.364707,26.19062,-1.3181181,8.799815,4.686617,1.874648,0.9162902,9.754436,1,13
12,1960,AUS,ITA,AUSITA,97.2,19.05,40.04,13.5,5.46E+11,1.99E+11,10878.983,19378.371,50199700,10276477,623.99,0.89,0,0,0,0,0,0,0,0,16333.25,16232.27,15855.41,15799.78,0,0,0,0,1,0,510.2039,296.6905,6.693193,27.337,-0.9374705,9.04775,4.686617,3275.312,-6.549457,9.700958,1,14
13,1960,AUS,JPN,AUSJPN,313.2,19.05,151.25,13.5,7.96E+11,1.99E+11,8607.6571,19378.371,92500572,10276477,360,0.89,0,0,0,0,0,0,0,0,7831.446,7958.28,7827.079,7789.92,0,0,0,0,0,0,1643.99,1120.74,7.924698,27.62637,-1.1391689,9.284586,4.686617,1889.644,-5.999433,8.965902,1,15
14,1960,AUS,NLD,AUSNLD,9.5,19.05,41.25,13.5,1.88E+11,1.99E+11,16386.545,19378.371,11486631,10276477,3.8,0.89,0,0,0,0,0,0,0,0,16658.11,16644.24,16227.45,16186.89,0,0,0,0,1,0,49.86561,305.6564,5.873587,26.68264,-0.69394149,8.003639,4.686617,19.94625,-1.44833,9.720653,1,16
15,1960,AUS,NOR,AUSNOR,1.4,19.05,10.78,13.5,8.30E+10,1.99E+11,23167.442,19378.371,3581239,10276477,7.14,0.89,0,0,0,0,0,0,0,0,15963.53,15992.95,15646.16,15611.19,0,0,0,0,0,0,7.348617,79.8782,4.468512,26.36556,-0.87897182,8.239876,4.686617,37.49296,-2.079442,9.678062,1,17
16,1960,AUS,PRT,AUSPRT,3.1,19.05,2.75,13.5,3.99E+10,1.99E+11,4500.7362,19378.371,8857716,10276477,28.75,0.89,0,0,0,0,0,0,0,0,18190.62,18069.91,17625.29,17572.81,0,0,0,0,0,0,16.27194,20.37709,3.601387,26.19976,-1.2802988,9.607615,4.686617,150.9091,-3.471967,9.808661,1,18
17,1960,AUS,SWE,AUSSWE,5.2,19.05,40.59,13.5,1.35E+11,1.99E+11,18050.119,19378.371,7484656,10276477,5.17,0.89,0,0,0,0,0,0,0,0,15608.91,15625.38,15385.4,15348.12,0,0,0,0,0,0,27.29486,300.7659,5.793199,26.53513,-0.73055092,7.191619,4.686617,27.15424,-1.756822,9.655597,1,19
18,1960,AUS,USA,AUSUSA,136,19.05,475.09,13.5,3.17E+12,1.99E+11,17550.573,19378.371,1.81E+08,10276477,1,0.89,0,1,1,0,0,0,0,0,16008.79,15961.95,14802.03,14589.17,0,0,0,0,0,0,713.8656,3520.346,8.350952,28.84594,-2.196422,7.510867,4.686617,5.249012,-0.1133289,9.680893,1,20
19,1960,AUT,CAN,AUTCAN,6.8,19.05,12.5,13.5,2.95E+11,9.18E+10,16449.777,13031.032,17909009,7047539,0.97,26,0,0,0,0,0,0,0,0,6922.538,6573.097,7070.077,6991.415,0,0,0,0,0,0,35.69328,92.62315,4.854499,26.68023,-1.015157,8.137029,136.4743,5.090317,3.288796,8.842538,2,4
20,1960,AUT,CHE,AUTCHE,54,19.05,61.3,13.5,1.63E+11,9.18E+10,30624.716,13031.032,5327827,7047539,4.37,26,1,1,1,0,0,0,0,0,684.8875,684.8875,576.4147,477.5437,0,0,0,0,0,0,283.4466,454.2239,6.603498,26.26453,-0.77461617,9.775295,136.4743,22.95367,1.782659,6.529254,2,5
21,1960,AUT,DEU,AUTDEU,300.3,19.05,565.6,13.5,1.54E+12,9.18E+10,19679.536,13031.032,72814900,7047539,4.2,26,1,1,1,0,0,0,0,0,763.7314,523.9359,592.3266,529.5919,0,0,0,0,1,0,1576.278,4191.012,8.659958,28.11971,-2.2412663,8.802147,136.4743,22.04585,1.823012,6.638216,2,6
22,1960,AUT,DNK,AUTDNK,11.6,19.05,9.3,13.5,9.41E+10,9.18E+10,20537.546,13031.032,4579603,7047539,6.91,26,0,0,0,0,0,0,0,0,868.5304,868.5304,926.4196,920.8346,0,0,0,0,0,0,60.88854,68.91162,4.865996,25.94842,-0.69328944,8.923527,136.4743,36.25566,1.325541,6.766803,2,7
23,1960,AUT,ESP,AUTESP,5.7,19.05,8.6,13.5,2.25E+11,9.18E+10,7375.7029,13031.032,30455000,7047539,60,26,0,0,0,0,0,0,0,0,1811.999,1811.999,1703.055,1628.711,0,0,0,0,0,0,29.91937,63.72473,4.539501,26.48047,-0.8868167,8.640353,136.4743,314.9407,-0.836248,7.502186,2,8
24,1960,AUT,FIN,AUTFIN,7.4,19.05,1.2,13.5,5.40E+10,9.18E+10,12179.393,13031.032,4429634,7047539,3.2,26,0,0,0,0,0,0,0,0,1437.813,1437.813,1601.832,1583.767,0,0,0,0,0,0,38.84269,8.891822,3.865654,25.70541,-0.76307111,6.747162,136.4743,16.79684,2.094946,7.270878,2,9
25,1960,AUT,FRA,AUTFRA,19.5,19.05,52.2,13.5,5.94E+11,9.18E+10,12743.925,13031.032,46621669,7047539,4.94,26,0,0,0,0,0,0,0,0,1035.144,1035.144,975.7691,920.6031,0,0,0,0,1,0,102.3557,386.7943,6.192669,27.25411,-1.4614169,5.659854,136.4743,25.91469,1.661327,6.942296,2,10
26,1960,AUT,GBR,AUTGBR,31.5,19.05,69.9,13.5,7.30E+11,9.18E+10,13934.03,13031.032,52400000,7047539,0.36,26,0,0,0,0,0,0,0,0,1238.199,1238.199,1290.561,1267.391,0,0,0,0,0,0,165.3439,517.9487,6.526923,27.43498,-1.6170319,6.80572,136.4743,1.874648,4.287715,7.121413,2,11
27,1960,AUT,GRC,AUTGRC,13.6,19.05,6.3,13.5,5.22E+10,9.18E+10,6259.7931,13031.032,8331725,7047539,30,26,0,0,0,0,0,0,0,0,1283.6,1283.6,1266.512,1248.703,0,0,0,0,0,0,71.38656,46.68207,4.771266,25.69302,-0.77213276,8.820439,136.4743,157.4719,-0.1431108,7.157424,2,12
28,1960,AUT,IRL,AUTIRL,1.1,19.05,0.4,13.5,3.77E+10,9.18E+10,12745.356,13031.032,2828600,7047539,0.36,26,0,0,0,0,0,0,0,0,1681.996,1681.996,1663.347,1654.2,0,0,0,0,0,0,5.773913,2.963941,2.167665,25.58716,-0.88520677,5.654859,136.4743,1.874648,4.287715,7.427736,2,13
29,1960,AUT,ITA,AUTITA,186.4,19.05,114,13.5,5.46E+11,9.18E+10,10878.983,13031.032,50199700,7047539,623.99,26,1,0,0,0,0,0,0,0,767.4132,767.4132,700.9222,618.7315,0,0,0,0,1,0,978.4158,844.7231,7.508315,27.18154,-1.4005451,7.674176,136.4743,3275.312,-3.178032,6.643025,2,14
30,1960,AUT,JPN,AUTJPN,6.2,19.05,5.7,13.5,7.96E+11,9.18E+10,8607.6571,13031.032,92500572,7047539,360,26,0,0,0,0,0,0,0,0,9141.063,9141.063,9110.66,9106.568,0,0,0,0,0,0,32.54387,42.23616,4.314551,27.51229,-1.6850297,8.394658,136.4743,1889.644,-2.628008,9.120532,2,15
31,1960,AUT,NLD,AUTNLD,34,19.05,44.7,13.5,1.88E+11,9.18E+10,16386.545,13031.032,11486631,7047539,3.8,26,0,0,0,0,0,0,0,0,934.7828,934.7828,864.5513,853.012,0,0,0,0,1,0,178.4664,331.2204,6.233796,26.35828,-0.81922482,8.118361,136.4743,19.94625,1.923095,6.840314,2,16
32,1960,AUT,NOR,AUTNOR,10.2,19.05,8.1,13.5,8.30E+10,9.18E+10,23167.442,13031.032,3581239,7047539,7.14,26,0,0,0,0,0,0,0,0,1351.699,1351.699,1459.53,1429.093,0,0,0,0,0,0,53.53992,60.0198,4.732329,25.88694,-0.69572444,9.223889,136.4743,37.49296,1.291983,7.209117,2,17
33,1960,AUT,PRT,AUTPRT,3.2,19.05,2.3,13.5,3.99E+10,9.18E+10,4500.7362,13031.032,8857716,7047539,28.75,26,0,0,0,0,0,0,0,0,2299.266,2299.266,2194.591,2167.879,0,0,0,0,0,0,16.79684,17.04266,3.521629,25.60382,-0.86240883,9.051379,136.4743,150.9091,-0.1005412,7.740345,2,18
34,1960,AUT,SWE,AUTSWE,29.1,19.05,20.3,13.5,1.35E+11,9.18E+10,18050.119,13031.032,7484656,7047539,5.17,26,0,0,0,0,0,0,0,0,1242.31,1242.31,1228.473,1194.509,0,0,0,0,0,0,152.7462,150.42,5.714281,26.14793,-0.7301663,8.521004,136.4743,27.15424,1.614603,7.124728,2,19
35,1960,AUT,USA,AUTUSA,49.4,19.05,104,13.5,3.17E+12,9.18E+10,17550.573,13031.032,1.81E+08,7047539,1,26,0,0,0,0,0,0,0,0,6798.701,7129.667,8124.255,7946.586,0,0,0,0,0,0,259.3012,770.6246,6.937242,28.81358,-2.9057072,8.416165,136.4743,5.249012,3.258096,8.824487,2,20
36,1960,BELLUX,AUS,BELLUXAUS,26.6,19.05,55.1,13.5,1.99E+11,1.28E+11,19378.371,20053.067,10276477,9467459,0.89,50,0,0,0,0,0,0,0,0,16759.6,16734.73,16319.19,16277.46,0,0,0,1,0,0,139.6237,408.2828,6.306105,26.5127,-0.74212546,6.514262,262.4506,4.686617,4.025352,9.726727,3,1
37,1960,BELLUX,AUT,BELLUXAUT,25.9,19.05,23,13.5,9.18E+10,1.28E+11,13031.032,20053.067,7047539,9467459,26,50,0,1,1,0,0,0,0,0,914.4633,914.4633,858.1682,840.9505,0,0,0,1,0,0,135.9494,170.4266,5.724813,26.11473,-0.72017983,8.856809,262.4506,136.4743,0.6539265,6.818337,3,2
38,1960,BELLUX,CAN,BELLUXCAN,41.6,19.05,47.9,13.5,2.95E+11,1.28E+11,16449.777,20053.067,17909009,9467459,0.97,50,0,1,1,0,0,0,0,0,6031.534,5680.899,6267.681,6166.93,0,0,0,1,0,0,218.3589,354.9319,6.351393,26.76895,-0.86302023,8.189603,262.4506,5.090317,3.942723,8.704757,3,4
39,1960,BELLUX,CHE,BELLUXCHE,104.6,19.05,71.5,13.5,1.63E+11,1.28E+11,30624.716,20053.067,5327827,9467459,4.37,50,0,1,1,0,0,0,0,0,487.4555,487.4555,503.0689,497.7357,0,0,0,1,0,0,549.0466,529.8044,6.983652,26.39608,-0.70813621,9.265931,262.4506,22.95367,2.436585,6.189199,3,5
40,1960,BELLUX,DEU,BELLUXDEU,596.1,19.05,674,13.5,1.54E+12,1.28E+11,19679.536,20053.067,72814900,9467459,4.2,50,1,1,1,0,0,0,0,0,196.8761,653.1423,423.3463,325.7056,0,0,0,1,1,1,3128.936,4994.24,9.002477,28.14146,-1.9552002,5.922999,262.4506,22.04585,2.476938,5.282575,3,6
41,1960,BELLUX,DNK,BELLUXDNK,70.2,19.05,14.7,13.5,9.41E+10,1.28E+11,20537.546,20053.067,4579603,9467459,6.91,50,0,0,0,0,0,0,0,0,767.1575,767.1575,726.7531,720.7948,0,0,0,1,0,0,368.4806,108.9248,6.168366,26.12478,-0.71642269,6.183075,262.4506,36.25566,1.979467,6.642692,3,7
42,1960,BELLUX,ESP,BELLUXESP,22,19.05,23.8,13.5,2.25E+11,1.28E+11,7375.7029,20053.067,30455000,9467459,60,50,0,0,0,0,0,0,0,0,1316.64,1316.64,1356.567,1299.581,0,0,0,1,0,0,115.4783,176.3545,5.676181,26.58779,-0.77187432,9.447574,262.4506,314.9407,-0.1823215,7.182838,3,8
43,1960,BELLUX,FIN,BELLUXFIN,31.9,19.05,38.1,13.5,5.40E+10,1.28E+11,12179.393,20053.067,4429634,9467459,3.2,50,0,0,0,0,0,0,0,0,1651.582,1651.582,1706.886,1697.453,0,0,0,1,0,0,167.4435,282.3154,6.108712,25.92528,-0.87323309,8.97128,262.4506,16.79684,2.748872,7.409489,3,9
44,1960,BELLUX,FRA,BELLUXFRA,392.4,19.05,538,13.5,5.94E+11,1.28E+11,12743.925,20053.067,46621669,9467459,4.94,50,1,1,1,0,0,0,0,0,262.3845,262.3845,526.3351,378.6807,0,0,0,1,1,1,2059.712,3986.5,8.707188,27.30506,-1.2337279,8.896881,262.4506,25.91469,2.315253,5.569811,3,10
45,1960,BELLUX,GBR,BELLUXGBR,209.6,19.05,291.7,13.5,7.30E+11,1.28E+11,13934.03,20053.067,52400000,9467459,0.36,50,0,0,0,0,0,0,0,0,323.7796,323.7796,448.2817,399.5528,0,0,0,1,0,0,1100.193,2161.454,8.089988,27.47767,-1.37284,8.71916,262.4506,1.874648,4.941642,5.780063,3,11
46,1960,BELLUX,GRC,BELLUXGRC,34.2,19.05,2.6,13.5,5.22E+10,1.28E+11,6259.7931,20053.067,8331725,9467459,30,50,0,0,0,0,0,0,0,0,2089.225,2089.225,2050.843,2042.566,0,0,0,1,0,0,179.5162,19.26562,5.292208,25.91535,-0.88721068,9.531937,262.4506,157.4719,0.5108157,7.644548,3,12
47,1960,BELLUX,IRL,BELLUXIRL,13.1,19.05,2.6,13.5,3.77E+10,1.28E+11,12745.356,20053.067,2828600,9467459,0.36,50,0,0,0,0,0,0,0,0,775.6281,775.6281,811.519,804.6477,0,0,0,1,0,0,68.76205,19.26562,4.477651,25.8315,-1.0443161,8.896686,262.4506,1.874648,4.941642,6.653673,3,13
48,1960,BELLUX,ITA,BELLUXITA,116.4,19.05,94,13.5,5.46E+11,1.28E+11,10878.983,20053.067,50199700,9467459,623.99,50,0,0,0,0,0,0,0,0,1174.904,1174.904,1087.702,995.9626,0,0,0,1,1,1,610.985,696.5261,7.17588,27.23621,-1.1803193,9.124138,262.4506,3275.312,-2.524105,7.068942,3,14
49,1960,BELLUX,JPN,BELLUXJPN,24,19.05,21.1,13.5,7.96E+11,1.28E+11,8607.6571,20053.067,92500572,9467459,360,50,0,0,0,0,0,0,0,0,9463.263,9463.263,9371.254,9368.437,0,0,0,1,0,0,125.9763,156.3479,5.643056,27.55187,-1.4346094,9.345344,262.4506,1889.644,-1.974081,9.155172,3,15
50,1960,BELLUX,NLD,BELLUXNLD,803,19.05,587.8,13.5,1.88E+11,1.28E+11,16386.545,20053.067,11486631,9467459,3.8,50,1,1,1,0,0,0,0,1,173.0333,173.0333,160.9283,141.4463,0,0,0,1,1,1,4214.957,4355.511,9.056078,26.47873,-0.73056074,8.206999,262.4506,19.94625,2.577022,5.153484,3,16
51,1960,BELLUX,NOR,BELLUXNOR,41.8,19.05,19.9,13.5,8.30E+10,1.28E+11,23167.442,20053.067,3581239,9467459,7.14,50,0,0,0,0,0,0,0,0,1087.773,1087.773,1128.785,1087.799,0,0,0,1,0,0,219.4087,147.4561,5.904993,26.07349,-0.7392597,8.043784,262.4506,37.49296,1.94591,6.991888,3,17
52,1960,BELLUX,PRT,BELLUXPRT,44.5,19.05,12.2,13.5,3.99E+10,1.28E+11,4500.7362,20053.067,8857716,9467459,28.75,50,0,0,0,0,0,0,0,0,1711.396,1711.396,1683.548,1657.729,0,0,0,1,0,0,233.581,90.40019,5.780685,25.84457,-1.0143451,9.651966,262.4506,150.9091,0.5533853,7.445065,3,18
53,1960,BELLUX,SWE,BELLUXSWE,110.3,19.05,119.5,13.5,1.35E+11,1.28E+11,18050.119,20053.067,7484656,9467459,5.17,50,0,0,0,0,0,0,0,0,1283.716,1283.716,1151.5,1103.572,0,0,0,1,0,0,578.966,885.4773,7.28923,26.29461,-0.69394293,7.602375,262.4506,27.15424,2.26853,7.157514,3,19
54,1960,BELLUX,USA,BELLUXUSA,357.8,19.05,391,13.5,3.17E+12,1.28E+11,17550.573,20053.067,1.81E+08,9467459,1,50,0,0,0,0,0,0,0,0,5891.711,6222.864,7302.655,7096.715,0,0,0,1,0,0,1878.096,2897.252,8.471222,28.82451,-2.5979899,7.825043,262.4506,5.249012,3.912023,8.681302,3,20
55,1960,CAN,CHE,CANCHE,27.2,19.05,27.2,13.5,1.63E+11,2.95E+11,30624.716,16449.777,5327827,17909009,4.37,0.97,0,1,1,0,0,0,0,0,6440.717,6089.288,6711.412,6610.435,0,0,0,0,0,0,142.7731,201.548,5.841575,26.84962,-0.77918666,9.559231,5.090317,22.95367,-1.506137,8.770395,4,5
56,1960,CAN,DEU,CANDEU,170.9,19.05,142.6,13.5,1.54E+12,2.95E+11,19679.536,16449.777,72814900,17909009,4.2,0.97,0,0,0,0,0,0,0,0,6160.559,6134.981,6541.714,6454.213,0,0,0,0,1,0,897.0561,1056.645,7.577481,28.23694,-1.310128,8.080163,5.090317,22.04585,-1.465784,8.725923,4,6
57,1960,CAN,DNK,CANDNK,5.4,19.05,11,13.5,9.41E+10,2.95E+11,20537.546,16449.777,4579603,17909009,6.91,0.97,0,0,0,0,0,0,0,0,6257.225,5913.635,6333.824,6264.796,0,0,0,0,0,0,28.34466,81.50837,4.699143,26.68595,-1.0027439,8.315755,5.090317,36.25566,-1.963255,8.741492,4,7
58,1960,CAN,ESP,CANESP,10.3,19.05,7.8,13.5,2.25E+11,2.95E+11,7375.7029,16449.777,30455000,17909009,60,0.97,0,0,0,0,0,0,0,0,6040.498,5695.349,6519.997,6357.972,0,0,0,0,0,0,54.06482,57.79684,4.717263,26.97561,-0.71147501,9.113176,5.090317,314.9407,-4.125044,8.706242,4,8
59,1960,CAN,FIN,CANFIN,4.4,19.05,1,13.5,5.40E+10,2.95E+11,12179.393,16449.777,4429634,17909009,3.2,0.97,0,0,0,0,0,0,0,0,6610.818,6282.455,6560.567,6526.283,0,0,0,0,0,0,23.09565,7.409852,3.417907,26.57705,-1.3407349,8.359459,5.090317,16.79684,-1.19385,8.796463,4,9
60,1960,CAN,FRA,CANFRA,75.1,19.05,56.4,13.5,5.94E+11,2.95E+11,12743.925,16449.777,46621669,17909009,4.94,0.97,0,1,1,1,0,0,0,0,6004.645,5653.213,6454.269,6326.645,0,0,0,0,1,0,394.2008,417.9156,6.699644,27.51307,-0.81373145,8.217669,5.090317,25.91469,-1.62747,8.700289,4,10
61,1960,CAN,GBR,CANGBR,942.7,19.05,656.3,13.5,7.30E+11,2.95E+11,13934.03,16449.777,52400000,17909009,0.36,0.97,0,1,1,1,0,0,0,0,5715.747,5364.799,5849.772,5734.132,0,0,0,0,0,0,4948.243,4863.086,9.191293,27.65546,-0.89238942,7.830325,5.090317,1.874648,0.9989193,8.65098,4,11
62,1960,CAN,GRC,CANGRC,5.6,19.05,0.4,13.5,5.22E+10,2.95E+11,6259.7931,16449.777,8331725,17909009,30,0.97,0,0,0,0,0,0,0,0,8103.304,7751.891,8275.931,8202.845,0,0,0,0,0,0,29.39447,2.963941,3.476874,26.57188,-1.364251,9.22916,5.090317,157.4719,-3.431907,9.000027,4,12
63,1960,CAN,IRL,CANIRL,7.6,19.05,2.3,13.5,3.77E+10,2.95E+11,12745.356,16449.777,2828600,17909009,0.36,0.97,0,1,1,0,0,0,0,0,5256.649,4905.859,5498.237,5370.004,0,0,0,0,0,0,39.89249,17.04266,4.041913,26.52928,-1.6038289,8.217282,5.090317,1.874648,0.9989193,8.567249,4,13
64,1960,CAN,ITA,CANITA,68,19.05,48.3,13.5,5.46E+11,2.95E+11,10878.983,16449.777,50199700,17909009,623.99,0.97,0,0,0,0,0,0,0,0,7089.198,6737.826,7269.783,7159.589,0,0,0,0,1,0,356.9328,357.8958,6.572043,27.45753,-0.78691466,8.625293,5.090317,3275.312,-6.466828,8.866327,4,14
65,1960,CAN,JPN,CANJPN,181.7,19.05,123.9,13.5,7.96E+11,2.95E+11,8607.6571,16449.777,92500572,17909009,360,0.97,0,0,0,0,0,0,0,0,10358.49,10330.62,9756.434,9599.364,0,0,0,0,0,0,953.7454,918.0806,7.53467,27.71794,-0.93072609,8.967264,5.090317,1889.644,-5.916804,9.245562,4,15
66,1960,CAN,NLD,CANNLD,64,19.05,35.9,13.5,1.88E+11,2.95E+11,16386.545,16449.777,11486631,17909009,3.8,0.97,0,0,0,0,0,0,0,0,5988.239,5638.61,6237.395,6142.717,0,0,0,0,1,0,335.9368,266.0137,6.400175,26.90292,-0.74290279,4.146796,5.090317,19.94625,-1.365701,8.697553,4,16
67,1960,CAN,NOR,CANNOR,71.4,19.05,4.6,13.5,8.30E+10,2.95E+11,23167.442,16449.777,3581239,17909009,7.14,0.97,0,0,0,0,0,0,0,0,5941.591,5604.292,5968.893,5908.438,0,0,0,0,0,0,374.7794,34.08532,6.013384,26.65701,-1.0702782,8.812496,5.090317,37.49296,-1.996813,8.689733,4,17
68,1960,CAN,PRT,CANPRT,3.3,19.05,3.4,13.5,3.99E+10,2.95E+11,4500.7362,16449.777,8857716,17909009,28.75,0.97,0,0,0,0,0,0,0,0,5730.805,5392.036,6132.156,5948.715,0,0,0,0,0,0,17.32174,25.1935,3.749862,26.5358,-1.5607742,9.388406,5.090317,150.9091,-3.389338,8.653611,4,18
69,1960,CAN,SWE,CANSWE,21.5,19.05,22.7,13.5,1.35E+11,2.95E+11,18050.119,16449.777,7484656,17909009,5.17,0.97,0,0,0,0,0,0,0,0,6335.357,6000.775,6347.801,6295.129,0,0,0,0,0,0,112.8538,168.2036,5.638559,26.78635,-0.84139558,7.377973,5.090317,27.15424,-1.674193,8.753901,4,19
70,1960,CAN,USA,CANUSA,3110.1,19.05,4147.1,13.5,3.17E+12,2.95E+11,17550.573,16449.777,1.81E+08,17909009,1,0.97,1,1,1,0,0,0,0,0,548.3946,737.0425,2079.297,1154.531,0,0,0,0,0,0,16324.95,30729.4,10.75906,28.87387,-1.8606849,7.003789,5.090317,5.249012,-0.0306997,6.306995,4,20
71,1960,CHE,GBR,CHEGBR,109.8,19.05,133.4,13.5,7.30E+11,1.63E+11,13934.03,30624.716,52400000,5327827,0.36,4.37,0,0,0,0,0,0,0,0,748.7117,748.7117,902.2784,872.898,0,0,0,0,0,0,576.3415,988.4742,7.355524,27.5182,-1.2087205,9.722606,22.95367,1.874648,2.505057,6.618354,5,11
72,1960,CHE,USA,CHEUSA,188.7,19.05,255.2,13.5,3.17E+12,1.63E+11,17550.573,30624.716,1.81E+08,5327827,1,4.37,0,0,0,0,0,0,0,0,6272.285,6603.182,7734.57,7531.326,0,0,0,0,0,0,990.4885,1890.994,7.96606,28.83521,-2.3742194,9.478392,22.95367,5.249012,1.475438,8.743896,5,20
73,1960,DEU,CHE,DEUCHE,713,19.05,387,13.5,1.63E+11,1.54E+12,30624.716,19679.536,5327827,72814900,4.37,4.2,1,1,1,0,0,0,0,0,503.8007,755.3049,543.4735,468.7134,0,0,0,1,0,0,3742.545,2867.613,8.796363,28.16253,-1.7521751,9.300654,22.04585,22.95367,-0.0403534,6.222181,6,5
74,1960,DEU,ESP,DEUESP,105,19.05,158,13.5,2.25E+11,1.54E+12,7375.7029,19679.536,30455000,72814900,60,4.2,0,0,0,0,0,0,0,0,1479.332,1873.129,1627.346,1550.94,0,0,0,1,0,0,551.1462,1170.757,7.451185,28.19802,-1.503457,9.417666,22.04585,314.9407,-2.65926,7.299346,6,8
75,1960,DEU,GBR,DEUGBR,511,19.05,466,13.5,7.30E+11,1.54E+12,13934.03,19679.536,52400000,72814900,0.36,4.2,0,0,0,0,0,0,0,0,495.3633,936.1019,808.641,752.69,0,0,0,1,0,0,2682.245,3452.991,8.721804,28.45013,-0.82888528,8.656174,22.04585,1.874648,2.464704,6.205291,6,11
76,1960,DEU,GRC,DEUGRC,97,19.05,51,13.5,5.22E+10,1.54E+12,6259.7931,19679.536,8331725,72814900,30,4.2,0,0,0,0,0,0,0,0,1990.582,1803.951,1810.254,1786.286,0,0,0,1,0,0,509.1541,377.9024,6.787909,28.09506,-2.7577741,9.504482,22.04585,157.4719,-1.966123,7.596182,6,12
77,1960,DEU,IRL,DEUIRL,32,19.05,11,13.5,3.77E+10,1.54E+12,12745.356,19679.536,2828600,72814900,0.36,4.2,0,0,0,0,0,0,0,0,920.8693,1318.172,1169.722,1141.378,0,0,0,1,0,0,167.9684,81.50837,5.519366,28.08593,-3.0642942,8.844218,22.04585,1.874648,2.464704,6.825318,6,13
