"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.04,0.048,0.096,0.1,0.052,0.048,0.1,0.104
"2",0.044,0.04,0.06,0.064,0.044,0.048,0.064,0.068
"3",0.036,0.036,0.052,0.064,0.036,0.036,0.06,0.064
"4",0.012,0.012,0.024,0.028,0.012,0.012,0.02,0.032
"5",0.052,0.048,0.052,0.056,0.056,0.048,0.056,0.056
"6",0.052,0.04,0.044,0.052,0.052,0.04,0.044,0.052
"7",0.028,0.028,0.032,0.032,0.028,0.028,0.028,0.028
"8",0.08,0.076,0.092,0.096,0.072,0.084,0.096,0.096
"9",0.04,0.048,0.056,0.06,0.036,0.044,0.052,0.052
"10",0.936,0.96,0.936,0.952,0.936,0.964,0.94,0.956
"11",0.576,0.6,0.636,0.684,0.592,0.608,0.644,0.692
"12",0.58,0.6,0.592,0.616,0.584,0.604,0.608,0.624
"13",0.98,0.976,0.984,0.988,0.984,0.972,0.984,0.988
"14",0.88,0.864,0.872,0.932,0.884,0.868,0.876,0.932
"15",0.852,0.876,0.868,0.928,0.864,0.88,0.868,0.916
"16",0.996,1,0.996,0.996,0.992,1,0.996,0.996
"17",0.976,0.98,0.984,0.988,0.972,0.98,0.984,0.988
"18",0.972,0.98,0.98,0.98,0.976,0.976,0.98,0.98
