"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.0725,0.0725,0.0825,0.09,0.0675,0.0775,0.0825,0.095
"2",0.0425,0.0425,0.06,0.0625,0.045,0.045,0.055,0.0625
"3",0.0425,0.0375,0.0575,0.0575,0.04,0.0475,0.065,0.0625
"4",0.06,0.0725,0.08,0.09,0.06,0.07,0.085,0.095
"5",0.0375,0.04,0.055,0.06,0.04,0.045,0.0525,0.0575
"6",0.055,0.0625,0.08,0.075,0.055,0.0625,0.0775,0.0775
"7",0.06,0.06,0.07,0.0775,0.0575,0.06,0.0675,0.0725
"8",0.0425,0.045,0.055,0.06,0.0425,0.045,0.06,0.065
"9",0.0375,0.04,0.0525,0.0525,0.0375,0.04,0.05,0.0525
"10",0.935,0.95,0.9525,0.9525,0.9425,0.955,0.955,0.955
"11",0.575,0.5975,0.67,0.685,0.58,0.5975,0.6675,0.68
"12",0.5775,0.5825,0.6375,0.66,0.5925,0.5875,0.6425,0.6625
"13",0.9725,0.98,0.9875,0.9875,0.9775,0.985,0.9875,0.9875
"14",0.86,0.87,0.91,0.93,0.8625,0.875,0.9075,0.9225
"15",0.86,0.865,0.895,0.9125,0.8625,0.8675,0.9,0.9175
"16",0.9975,0.9925,1,1,0.9975,0.9925,1,1
"17",0.975,0.98,0.985,0.98,0.975,0.9825,0.985,0.98
"18",0.98,0.985,0.985,0.99,0.98,0.9825,0.985,0.9925
