"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.028,0.036,0.044,0.04,0.028,0.036,0.044,0.044
"2",0.008,0.012,0.02,0.028,0.012,0.024,0.02,0.032
"3",0.02,0.02,0.012,0.024,0.02,0.016,0.02,0.028
"4",0.088,0.076,0.08,0.092,0.084,0.084,0.084,0.1
"5",0.024,0.016,0.024,0.02,0.024,0.024,0.024,0.024
"6",0.012,0.012,0.02,0.028,0.012,0.016,0.02,0.032
"7",0.072,0.084,0.116,0.124,0.072,0.092,0.116,0.124
"8",0.024,0.024,0.032,0.028,0.024,0.024,0.032,0.028
"9",0.024,0.024,0.032,0.032,0.024,0.024,0.032,0.032
"10",0.908,0.888,0.916,0.952,0.9,0.892,0.928,0.952
"11",0.42,0.412,0.472,0.54,0.436,0.412,0.488,0.548
"12",0.396,0.408,0.472,0.456,0.416,0.412,0.48,0.46
"13",0.956,0.956,0.94,0.96,0.964,0.956,0.94,0.96
"14",0.716,0.716,0.736,0.796,0.724,0.72,0.752,0.8
"15",0.588,0.636,0.668,0.712,0.596,0.644,0.664,0.72
"16",0.976,0.984,0.988,0.98,0.976,0.984,0.988,0.98
"17",0.88,0.908,0.928,0.912,0.876,0.908,0.924,0.912
"18",0.896,0.932,0.912,0.896,0.896,0.932,0.916,0.896
