"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.08,0.088,0.108,0.112,0.084,0.088,0.108,0.116
"2",0.028,0.036,0.032,0.036,0.024,0.036,0.036,0.04
"3",0.044,0.056,0.072,0.06,0.044,0.056,0.072,0.068
"4",0.04,0.044,0.056,0.076,0.04,0.044,0.06,0.08
"5",0.028,0.028,0.048,0.052,0.028,0.028,0.048,0.056
"6",0.032,0.048,0.068,0.068,0.032,0.044,0.068,0.068
"7",0.14,0.148,0.156,0.156,0.136,0.152,0.164,0.164
"8",0.064,0.072,0.076,0.08,0.056,0.068,0.08,0.08
"9",0.048,0.048,0.064,0.068,0.044,0.048,0.056,0.068
"10",0.952,0.976,0.948,0.94,0.952,0.976,0.952,0.944
"11",0.704,0.724,0.764,0.744,0.716,0.752,0.772,0.768
"12",0.68,0.692,0.708,0.712,0.672,0.716,0.724,0.72
"13",0.98,0.976,0.972,1,0.98,0.972,0.976,1
"14",0.876,0.896,0.912,0.932,0.868,0.896,0.916,0.932
"15",0.836,0.864,0.884,0.936,0.852,0.864,0.888,0.936
"16",0.996,0.988,1,0.996,0.996,0.988,1,0.996
"17",0.984,0.972,0.996,0.972,0.984,0.972,0.996,0.972
"18",0.984,0.976,0.996,0.984,0.984,0.976,0.996,0.984
