"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.0525,0.0525,0.06,0.065,0.05,0.055,0.0575,0.0675
"2",0.0475,0.05,0.07,0.0825,0.0575,0.0525,0.0675,0.0875
"3",0.0425,0.05,0.0475,0.06,0.04,0.045,0.05,0.06
"4",0.0525,0.055,0.0525,0.055,0.0575,0.0525,0.055,0.055
"5",0.0475,0.0475,0.06,0.0675,0.05,0.0475,0.06,0.07
"6",0.045,0.045,0.055,0.0575,0.045,0.045,0.055,0.055
"7",0.06,0.0625,0.075,0.09,0.055,0.06,0.0725,0.085
"8",0.0425,0.05,0.055,0.055,0.045,0.055,0.06,0.06
"9",0.03,0.03,0.045,0.045,0.03,0.025,0.04,0.04
"10",0.945,0.9575,0.975,0.9775,0.9475,0.9575,0.9775,0.9775
"11",0.685,0.695,0.7575,0.7925,0.69,0.7025,0.755,0.79
"12",0.645,0.655,0.7375,0.755,0.6575,0.6825,0.7525,0.7675
"13",0.9875,0.9875,0.9875,0.9975,0.9875,0.9875,0.9875,0.9975
"14",0.895,0.9025,0.915,0.9275,0.9025,0.8975,0.9175,0.93
"15",0.8825,0.9075,0.905,0.91,0.885,0.905,0.905,0.9125
"16",1,0.9975,0.9925,1,1,0.9975,0.995,1
"17",0.995,0.995,0.9875,0.9975,0.995,0.995,0.9875,0.9975
"18",0.995,0.9875,0.99,0.995,0.9925,0.99,0.99,0.995
