"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.07,0.0825,0.0875,0.0875,0.0725,0.08,0.085,0.0875
"2",0.095,0.1,0.11,0.12,0.095,0.1,0.11,0.125
"3",0.0575,0.06,0.065,0.075,0.065,0.0625,0.0675,0.0775
"4",0.07,0.065,0.08,0.08,0.0625,0.06,0.08,0.0825
"5",0.0875,0.0925,0.095,0.1075,0.1,0.1025,0.1025,0.1125
"6",0.055,0.06,0.065,0.0675,0.06,0.0625,0.0675,0.0725
"7",0.095,0.1,0.11,0.12,0.1,0.1,0.1075,0.115
"8",0.0725,0.07,0.0875,0.0875,0.07,0.0725,0.0825,0.085
"9",0.065,0.07,0.0725,0.0775,0.06,0.065,0.07,0.0775
"10",0.9225,0.9475,0.9525,0.96,0.9275,0.945,0.955,0.965
"11",0.52,0.5475,0.5825,0.565,0.5225,0.5475,0.5825,0.555
"12",0.5175,0.54,0.5925,0.6,0.5325,0.56,0.595,0.6025
"13",0.975,0.985,0.9875,0.9875,0.975,0.9875,0.9875,0.9875
"14",0.815,0.8325,0.8675,0.8825,0.81,0.84,0.875,0.885
"15",0.7975,0.8075,0.8475,0.85,0.7925,0.81,0.8525,0.855
"16",0.9975,0.995,0.9975,0.9975,0.9975,0.995,0.9975,0.9975
"17",0.99,0.975,0.985,0.98,0.9925,0.975,0.9825,0.985
"18",0.9875,0.985,0.985,0.9925,0.9875,0.985,0.985,0.9925
