"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.024,0.032,0.044,0.048,0.024,0.032,0.044,0.048
"2",0.032,0.028,0.02,0.028,0.024,0.024,0.02,0.032
"3",0.008,0.008,0.024,0.028,0.008,0.008,0.02,0.028
"4",0.028,0.028,0.032,0.044,0.032,0.036,0.036,0.048
"5",0.024,0.024,0.032,0.036,0.028,0.028,0.032,0.036
"6",0.032,0.024,0.036,0.048,0.032,0.028,0.036,0.048
"7",0.044,0.052,0.064,0.072,0.044,0.052,0.064,0.072
"8",0.028,0.036,0.044,0.044,0.036,0.04,0.04,0.044
"9",0.044,0.052,0.06,0.06,0.044,0.052,0.06,0.06
"10",0.96,0.964,0.976,0.972,0.956,0.964,0.972,0.972
"11",0.788,0.824,0.872,0.868,0.788,0.82,0.872,0.872
"12",0.74,0.772,0.832,0.856,0.744,0.776,0.832,0.852
"13",0.996,0.996,0.98,0.992,0.992,0.996,0.98,0.992
"14",0.912,0.924,0.948,0.964,0.916,0.924,0.944,0.96
"15",0.932,0.936,0.936,0.96,0.932,0.94,0.92,0.964
"16",1,1,1,1,1,1,1,1
"17",0.992,1,1,0.996,0.992,1,1,0.996
"18",0.992,0.996,1,1,0.992,0.996,1,1
