"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.068,0.064,0.068,0.072,0.068,0.068,0.064,0.08
"2",0.04,0.044,0.076,0.08,0.044,0.052,0.08,0.088
"3",0.04,0.04,0.06,0.064,0.032,0.036,0.064,0.064
"4",0.016,0.028,0.032,0.028,0.02,0.024,0.032,0.028
"5",0.032,0.044,0.056,0.048,0.032,0.044,0.052,0.044
"6",0.04,0.06,0.088,0.092,0.036,0.06,0.088,0.092
"7",0.016,0.016,0.02,0.024,0.016,0.016,0.02,0.024
"8",0.044,0.048,0.048,0.044,0.044,0.048,0.048,0.052
"9",0.076,0.076,0.092,0.092,0.076,0.076,0.092,0.096
"10",0.952,0.964,0.98,0.972,0.956,0.968,0.984,0.98
"11",0.772,0.792,0.816,0.852,0.756,0.792,0.824,0.856
"12",0.756,0.756,0.78,0.836,0.756,0.772,0.812,0.82
"13",0.992,1,1,1,0.992,1,1,1
"14",0.944,0.956,0.976,0.968,0.94,0.96,0.976,0.972
"15",0.956,0.944,0.964,0.964,0.964,0.948,0.964,0.96
"16",0.996,0.996,1,1,0.996,0.996,1,1
"17",0.98,0.996,1,1,0.976,0.992,1,1
"18",0.984,0.992,0.996,0.996,0.984,0.992,0.996,0.996
