"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.048,0.044,0.056,0.048,0.056,0.052,0.06,0.044
"2",0.036,0.028,0.048,0.052,0.044,0.036,0.06,0.048
"3",0.02,0.036,0.044,0.048,0.024,0.04,0.044,0.056
"4",0.028,0.036,0.032,0.036,0.032,0.036,0.036,0.044
"5",0.04,0.048,0.036,0.036,0.044,0.048,0.04,0.04
"6",0.036,0.04,0.044,0.056,0.04,0.044,0.048,0.06
"7",0.076,0.088,0.112,0.112,0.08,0.096,0.112,0.116
"8",0.024,0.028,0.036,0.036,0.02,0.024,0.036,0.036
"9",0.024,0.02,0.024,0.04,0.024,0.02,0.024,0.032
"10",0.948,0.972,0.948,0.972,0.952,0.972,0.952,0.972
"11",0.76,0.784,0.784,0.828,0.776,0.788,0.796,0.828
"12",0.696,0.756,0.768,0.764,0.716,0.752,0.748,0.776
"13",0.992,0.996,0.992,0.984,0.992,1,0.992,0.988
"14",0.948,0.952,0.952,0.928,0.948,0.956,0.952,0.924
"15",0.944,0.948,0.96,0.94,0.948,0.956,0.96,0.94
"16",1,1,0.996,1,1,1,0.996,1
"17",1,0.992,0.992,0.996,1,0.992,0.992,0.996
"18",1,0.988,0.992,0.996,1,0.984,0.992,0.996
