"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.032,0.04,0.04,0.056,0.032,0.04,0.048,0.06
"2",0.044,0.044,0.052,0.048,0.044,0.052,0.06,0.056
"3",0.052,0.048,0.064,0.064,0.052,0.056,0.064,0.064
"4",0.06,0.064,0.088,0.088,0.064,0.064,0.08,0.088
"5",0.04,0.044,0.068,0.056,0.04,0.048,0.068,0.06
"6",0.032,0.04,0.048,0.048,0.04,0.04,0.048,0.048
"7",0.092,0.096,0.108,0.108,0.092,0.096,0.108,0.116
"8",0.052,0.052,0.064,0.068,0.052,0.056,0.068,0.064
"9",0.02,0.036,0.036,0.04,0.02,0.036,0.044,0.044
"10",0.956,0.944,0.96,0.968,0.956,0.952,0.964,0.972
"11",0.656,0.676,0.704,0.736,0.664,0.684,0.708,0.736
"12",0.656,0.676,0.724,0.744,0.676,0.684,0.732,0.744
"13",0.984,0.988,0.984,0.98,0.984,0.98,0.988,0.976
"14",0.884,0.924,0.932,0.916,0.892,0.928,0.932,0.92
"15",0.868,0.88,0.912,0.908,0.876,0.876,0.908,0.912
"16",1,1,0.996,1,1,1,0.996,1
"17",0.98,0.984,0.996,0.988,0.98,0.98,0.996,0.988
"18",0.984,0.988,0.992,0.988,0.984,0.988,0.992,0.988
