"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.09,0.095,0.0925,0.105,0.0925,0.0975,0.1,0.1075
"2",0.06,0.0525,0.075,0.0875,0.0625,0.0575,0.08,0.095
"3",0.08,0.085,0.0875,0.095,0.08,0.0875,0.09,0.095
"4",0.0475,0.04,0.065,0.065,0.045,0.04,0.0625,0.0625
"5",0.055,0.0575,0.06,0.0725,0.0525,0.0575,0.07,0.075
"6",0.05,0.05,0.07,0.08,0.05,0.0475,0.065,0.075
"7",0.075,0.0775,0.0925,0.1025,0.07,0.075,0.0925,0.105
"8",0.09,0.0875,0.105,0.1175,0.0875,0.0925,0.1025,0.12
"9",0.0575,0.0575,0.0725,0.0725,0.06,0.0575,0.07,0.0725
"10",0.87,0.8875,0.9175,0.9075,0.87,0.8825,0.9275,0.91
"11",0.27,0.2975,0.335,0.3275,0.2775,0.3025,0.3375,0.32
"12",0.295,0.31,0.3275,0.3475,0.2875,0.3175,0.325,0.3575
"13",0.9425,0.9475,0.96,0.95,0.9425,0.9475,0.96,0.9525
"14",0.4875,0.48,0.52,0.5425,0.4925,0.4825,0.5325,0.54
"15",0.4575,0.445,0.5,0.4975,0.4525,0.4475,0.5,0.505
"16",0.995,0.9925,0.995,0.9975,0.995,0.9925,0.995,0.9975
"17",0.88,0.9025,0.9325,0.9275,0.875,0.9,0.9275,0.9275
"18",0.8875,0.9,0.9375,0.9225,0.885,0.9025,0.935,0.925
