"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.056,0.056,0.064,0.06,0.056,0.068,0.06,0.06
"2",0.024,0.024,0.028,0.036,0.024,0.028,0.032,0.036
"3",0.044,0.036,0.044,0.052,0.04,0.036,0.044,0.052
"4",0.04,0.048,0.06,0.06,0.04,0.052,0.06,0.064
"5",0.032,0.032,0.032,0.028,0.032,0.032,0.032,0.028
"6",0.032,0.036,0.056,0.052,0.028,0.032,0.056,0.056
"7",0.044,0.044,0.052,0.06,0.048,0.044,0.048,0.064
"8",0.048,0.056,0.064,0.06,0.044,0.056,0.064,0.064
"9",0.056,0.048,0.072,0.076,0.056,0.052,0.072,0.076
"10",0.892,0.892,0.912,0.936,0.892,0.892,0.916,0.932
"11",0.348,0.404,0.456,0.488,0.348,0.42,0.46,0.488
"12",0.332,0.376,0.4,0.436,0.348,0.392,0.404,0.444
"13",0.976,0.968,0.98,0.96,0.976,0.964,0.98,0.96
"14",0.668,0.704,0.744,0.74,0.68,0.712,0.74,0.744
"15",0.684,0.724,0.744,0.772,0.692,0.732,0.736,0.768
"16",0.98,0.996,0.992,0.992,0.98,0.996,0.992,0.992
"17",0.924,0.944,0.94,0.952,0.924,0.944,0.94,0.952
"18",0.92,0.944,0.96,0.968,0.916,0.948,0.956,0.968
