"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.035,0.045,0.0575,0.065,0.035,0.04,0.0675,0.0675
"2",0.0525,0.0625,0.085,0.0925,0.0575,0.0675,0.0875,0.1
"3",0.0475,0.055,0.0725,0.09,0.0475,0.06,0.075,0.08
"4",0.0325,0.0375,0.0525,0.06,0.0325,0.035,0.0575,0.06
"5",0.0575,0.0625,0.0775,0.0825,0.0525,0.07,0.075,0.0825
"6",0.05,0.0575,0.075,0.085,0.05,0.0575,0.0775,0.0825
"7",0.0675,0.0725,0.0825,0.09,0.06,0.07,0.08,0.0925
"8",0.0525,0.0525,0.06,0.06,0.0525,0.0525,0.06,0.06
"9",0.0425,0.0525,0.0575,0.0575,0.04,0.0475,0.06,0.0625
"10",0.94,0.955,0.9675,0.96,0.9425,0.9575,0.9675,0.96
"11",0.5375,0.54,0.585,0.5775,0.535,0.555,0.5925,0.59
"12",0.53,0.555,0.6025,0.61,0.545,0.58,0.605,0.6225
"13",0.985,0.9725,0.9825,0.985,0.9825,0.9725,0.9825,0.9875
"14",0.8575,0.8525,0.8825,0.875,0.8575,0.8475,0.8825,0.87
"15",0.82,0.8325,0.845,0.85,0.81,0.83,0.8475,0.8575
"16",1,0.995,0.9975,0.995,1,0.995,0.9975,0.995
"17",0.975,0.9875,0.9925,0.985,0.9725,0.9875,0.995,0.985
"18",0.9625,0.98,0.9875,0.99,0.965,0.9775,0.9875,0.985
