"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.084,0.076,0.108,0.104,0.088,0.076,0.116,0.112
"2",0.044,0.052,0.072,0.08,0.052,0.056,0.072,0.076
"3",0.032,0.032,0.048,0.044,0.028,0.036,0.052,0.048
"4",0.024,0.036,0.036,0.048,0.032,0.044,0.036,0.048
"5",0.052,0.052,0.076,0.084,0.056,0.048,0.076,0.088
"6",0.04,0.028,0.048,0.056,0.036,0.028,0.052,0.056
"7",0.072,0.084,0.092,0.096,0.076,0.092,0.1,0.104
"8",0.052,0.044,0.076,0.088,0.048,0.044,0.072,0.088
"9",0.028,0.04,0.036,0.04,0.032,0.04,0.04,0.044
"10",0.9,0.936,0.94,0.924,0.892,0.936,0.944,0.928
"11",0.348,0.38,0.436,0.456,0.352,0.384,0.46,0.468
"12",0.348,0.364,0.388,0.424,0.344,0.368,0.4,0.428
"13",0.964,0.956,0.968,0.98,0.968,0.956,0.968,0.98
"14",0.64,0.68,0.688,0.76,0.652,0.68,0.696,0.764
"15",0.66,0.7,0.672,0.74,0.668,0.708,0.664,0.74
"16",0.98,1,1,1,0.984,1,1,0.996
"17",0.956,0.96,0.96,0.96,0.96,0.96,0.96,0.964
"18",0.932,0.952,0.952,0.964,0.928,0.956,0.952,0.964
