"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.065,0.0625,0.0675,0.0875,0.0675,0.0625,0.075,0.09
"2",0.07,0.0675,0.08,0.09,0.0725,0.07,0.0775,0.0925
"3",0.075,0.075,0.09,0.09,0.08,0.0775,0.0925,0.09
"4",0.0475,0.05,0.065,0.065,0.055,0.05,0.07,0.07
"5",0.0725,0.0875,0.1025,0.11,0.075,0.09,0.0975,0.1125
"6",0.065,0.07,0.075,0.07,0.065,0.0725,0.08,0.075
"7",0.04,0.0425,0.0475,0.05,0.0475,0.045,0.0475,0.05
"8",0.075,0.075,0.0825,0.085,0.07,0.075,0.0825,0.085
"9",0.06,0.0575,0.0725,0.0825,0.06,0.06,0.0775,0.0825
"10",0.9325,0.925,0.935,0.9325,0.93,0.925,0.9375,0.94
"11",0.45,0.49,0.5,0.515,0.45,0.495,0.51,0.5225
"12",0.425,0.4075,0.41,0.45,0.425,0.42,0.42,0.4525
"13",0.9825,0.9825,0.98,0.9925,0.9825,0.9825,0.98,0.9925
"14",0.7025,0.7125,0.755,0.77,0.7125,0.715,0.7525,0.77
"15",0.705,0.6925,0.7475,0.765,0.7075,0.6975,0.7475,0.7725
"16",1,0.9975,0.995,1,1,0.995,0.9925,1
"17",0.965,0.9675,0.9775,0.99,0.965,0.9675,0.975,0.9875
"18",0.9675,0.9625,0.97,0.9775,0.97,0.9625,0.97,0.9775
