"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.095,0.095,0.1025,0.105,0.09,0.0975,0.105,0.105
"2",0.055,0.065,0.0725,0.0725,0.06,0.065,0.07,0.0775
"3",0.0675,0.0625,0.065,0.0825,0.075,0.0625,0.0725,0.075
"4",0.0625,0.0575,0.06,0.0725,0.0625,0.0575,0.06,0.0675
"5",0.04,0.05,0.0625,0.06,0.045,0.0475,0.06,0.0625
"6",0.0425,0.0425,0.06,0.05,0.0475,0.045,0.06,0.0525
"7",0.05,0.045,0.0575,0.06,0.0475,0.0475,0.0575,0.0575
"8",0.0525,0.0575,0.075,0.075,0.06,0.065,0.075,0.075
"9",0.0575,0.06,0.0775,0.075,0.0625,0.0675,0.0725,0.075
"10",0.8775,0.89,0.89,0.9,0.8725,0.8875,0.89,0.905
"11",0.29,0.285,0.3425,0.3525,0.29,0.285,0.34,0.3575
"12",0.2975,0.3025,0.3025,0.32,0.29,0.305,0.305,0.32
"13",0.9525,0.955,0.9625,0.94,0.95,0.9525,0.9625,0.9475
"14",0.5425,0.555,0.585,0.61,0.5475,0.5575,0.5725,0.6075
"15",0.505,0.5275,0.585,0.5975,0.5025,0.5175,0.5825,0.6
"16",0.9925,0.9925,0.995,0.995,0.9925,0.9925,0.995,0.995
"17",0.905,0.925,0.94,0.9325,0.9075,0.9225,0.935,0.9325
"18",0.905,0.9175,0.925,0.93,0.9025,0.9125,0.9275,0.93
