"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.0775,0.065,0.0725,0.0625,0.0725,0.065,0.075,0.065
"2",0.0425,0.0425,0.045,0.04,0.04,0.0425,0.0475,0.045
"3",0.0275,0.03,0.0475,0.0425,0.0325,0.0325,0.0425,0.045
"4",0.04,0.05,0.0625,0.065,0.0425,0.05,0.0675,0.08
"5",0.02,0.025,0.0225,0.0325,0.025,0.02,0.0275,0.0425
"6",0.0225,0.03,0.035,0.0425,0.025,0.035,0.0425,0.05
"7",0.0925,0.11,0.125,0.1225,0.09,0.1075,0.125,0.1275
"8",0.0325,0.0425,0.0525,0.0525,0.0325,0.0425,0.0525,0.05
"9",0.065,0.065,0.06,0.0675,0.065,0.0625,0.06,0.0675
"10",0.8875,0.9,0.91,0.8925,0.895,0.9075,0.9075,0.89
"11",0.3625,0.3925,0.4075,0.415,0.3725,0.395,0.42,0.42
"12",0.305,0.305,0.365,0.36,0.315,0.3125,0.3775,0.36
"13",0.9225,0.945,0.945,0.9525,0.93,0.9475,0.95,0.9525
"14",0.5075,0.5475,0.645,0.6475,0.5175,0.55,0.6575,0.655
"15",0.525,0.51,0.6125,0.6425,0.53,0.5125,0.6125,0.6475
"16",0.99,0.985,0.9875,0.995,0.9875,0.985,0.9875,0.9975
"17",0.8825,0.9075,0.9075,0.94,0.8775,0.9075,0.9075,0.94
"18",0.9,0.9075,0.925,0.9375,0.9,0.91,0.9225,0.935
