"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.00781609275214681,0.00605823358871133,0.0194420495000068,-0.00978534190009432
"T=30",0.0168176276063759,0.00841229370559801,0.100782688109787,0.117665629555597
"T=30",0.0161167790078293,0.0042957552754371,0.103301745118164,0.103332892709361
"T=50",0.00761748257188795,0.00529198803301668,0.0208426442317728,-0.0117967074708578
"T=50",0.0126478304608227,0.00464046221958173,0.100238077853758,0.0979617514592529
"T=50",0.0133328085592135,0.00765330361091118,0.0899955529023254,0.0906512546549816
"T=100",0.00751923746010976,0.00585813233041009,0.0223982982740739,-0.0130261894614256
"T=100",0.0106594801448712,0.00611634503625054,0.0924959529593578,0.102438146810558
"T=100",0.0110980548429766,0.00642060900932234,0.087458457126768,0.0850277768125867
"T=30",0.0104574693352856,0.0119785972898456,0.0238974246836667,0.0283185169915423
"T=30",0.0292923228897953,0.0401310774569333,0.111206738144706,0.146641827874068
"T=30",0.0297277133199514,0.0406632612382692,0.113214133794742,0.132450121457766
"T=50",0.00915860201099138,0.00880276649643523,0.023117946485615,0.021641420847709
"T=50",0.0210390080716466,0.0241557780990771,0.106915834596564,0.121320811007575
"T=50",0.0234986114580484,0.0290430890775393,0.0969410155025431,0.112961997404224
"T=100",0.00826565629264933,0.00728578041298028,0.0234503073503854,0.0174043952452777
"T=100",0.0152258169249802,0.0162507598569989,0.0966661411203148,0.117587313097869
"T=100",0.0165435473075439,0.0182757573022028,0.0919672917970228,0.102013544383768
