,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.015207711,-0.003887904,-0.021277387,-0.034276799
T=30,0.001648609,-0.000844982,0.067435712,0.082078568
T=30,0.005951276,0.001934587,0.067785316,0.087424236
T=50,-0.011746639,-0.005509725,-0.014014789,-0.039802948
T=50,-0.000855315,-0.005002267,0.054748923,0.080445746
T=50,-0.000849506,3.03E-05,0.061347175,0.078614709
T=100,-0.009450174,-0.005410623,-0.011290864,-0.040839283
T=100,-0.005019734,-0.005422884,0.057357575,0.081465167
T=100,-0.004807117,-0.004232143,0.055042102,0.060116448
T=30,0.017438501,0.015287889,0.024499157,0.043354988
T=30,0.033960446,0.058424034,0.083170475,0.126493474
T=30,0.033642344,0.058996372,0.085603875,0.135994092
T=50,0.013453194,0.011295164,0.016765579,0.044065829
T=50,0.025966276,0.041712218,0.067253613,0.116393816
T=50,0.027181193,0.040344932,0.073992113,0.110959393
T=100,0.010324223,0.007833125,0.013112789,0.043166705
T=100,0.016379885,0.02596159,0.064385783,0.102895572
T=100,0.017601443,0.025107948,0.061873335,0.082960869
