"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",-0.00281866763628307,0.00110108416437557,0.000335201905296772,-0.0173977269326359
"T=30",0.00888096952379991,-0.00339108698706008,0.0716938288153388,0.102876399037125
"T=30",0.0103472921066126,-0.00419171424998085,0.0763675845961312,0.0954078343276275
"T=50",-0.00169691359131165,0.000433038287008179,0.00385698946643032,-0.0244574200865648
"T=50",0.0049175261232924,-0.00111506551487459,0.0705606612435078,0.0871096772036192
"T=50",0.0039475797799261,-0.00478784030664259,0.0659376688711753,0.0740020516148926
"T=100",-0.000418539297536184,0.000598746348208426,0.00542876493274836,-0.02637962848627
"T=100",0.00261452793152897,-0.000902615529410343,0.0663914298631083,0.0828021182950444
"T=100",0.00344152549178405,-0.001675861954623,0.0622540300547219,0.0699006299157465
"T=30",0.0122062112215071,0.0199783716297704,0.0174493540649334,0.0403870357303947
"T=30",0.0433786721146581,0.0742570876727632,0.0986438853268061,0.160808629042893
"T=30",0.0465156779168534,0.0739894605555255,0.102364295865246,0.155817523585869
"T=50",0.0088414225969401,0.0127748649952968,0.0131045229279941,0.0349425109653627
"T=50",0.0319441953621128,0.0486378221728123,0.08799514106066,0.128350761911581
"T=50",0.0318061364224763,0.0521033075536624,0.0844774749301206,0.119370267714093
"T=100",0.00563066756452972,0.00745197623898417,0.0105249976434487,0.0309227197224608
"T=100",0.0201944486650509,0.0291800113339832,0.077985191553042,0.108594016867822
"T=100",0.0219623165262022,0.03047669196523,0.0738277211517978,0.0985972060848768
