"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.0080677816668806,0.00651888127435094,0.0175120195580363,-0.00282637205774088
"T=30",0.0231811197735512,-0.00240938473846606,0.101431390596126,0.109799355566447
"T=30",0.0255201594394748,-0.000348409297382095,0.0991822769634121,0.102685983576777
"T=50",0.00780417341345078,0.00434204578405181,0.0187305052879137,-0.0105882404582183
"T=50",0.0178074324513011,0.00422682731176178,0.0957623667391053,0.105786902597862
"T=50",0.0199577443638469,0.00606349390764501,0.0941461873118745,0.0848149237044048
"T=100",0.00820063374880933,0.00570753154117731,0.0205080400035306,-0.0117168779895711
"T=100",0.0135683924293262,0.00391421880678623,0.0960359568940215,0.105688472146739
"T=100",0.016118338237299,0.00640129944519252,0.09633994720537,0.0786847398342414
"T=30",0.0125708089116455,0.0159565594474723,0.023043010306419,0.0256940863429453
"T=30",0.0386247508756308,0.0546366007307782,0.116208608257434,0.148892950281612
"T=30",0.0424411271796185,0.0597615140868277,0.113217408165477,0.138353371621645
"T=50",0.0100928923501132,0.0111285171506959,0.0211270334105332,0.019856345683251
"T=50",0.0271098775248605,0.0350111127781963,0.103119101081622,0.133817819669606
"T=50",0.03278504635879,0.0402444809840397,0.102855005678742,0.115184703778226
"T=100",0.00943207200746635,0.00863901425421303,0.0217408161588467,0.0165569059494373
"T=100",0.0215336229916094,0.0266943996835807,0.100394878742593,0.122420875439089
"T=100",0.0223121382316901,0.0221398537183731,0.101016069282383,0.0977412266789314
