"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.00758892998876764,0.00530867539935407,0.0194947265393124,-0.0106959062564386
"T=30",0.0119865297474533,-0.00136942468277453,0.0860274317416261,0.101156062478623
"T=30",0.0121223895547002,-0.000263793711838896,0.084851018569802,0.0881071009792583
"T=50",0.00693114887681363,0.00473263146181917,0.0224453917202657,-0.0107070943647271
"T=50",0.0115014597910945,0.00392429292487656,0.0890681779847264,0.0894772801086172
"T=50",0.0121392034567528,0.00496064124488964,0.080239521572676,0.0783754069351184
"T=100",0.00683826875667684,0.00484360756084596,0.0216893768798453,-0.0118688681854468
"T=100",0.00953566293301249,0.00444512828274076,0.0836425609250018,0.0831749955305489
"T=100",0.0100908767305255,0.00513988137087137,0.0786720946118374,0.0828811958376282
"T=30",0.00926981625129789,0.00927237924935616,0.023078780596111,0.0229046243580514
"T=30",0.0181298620448159,0.0241542422065092,0.0944299734910756,0.129082152915609
"T=30",0.019300650575899,0.0238702407660787,0.0930747037185304,0.120926820881581
"T=50",0.00808409583605836,0.00711832026733024,0.024278786739721,0.0188806434321928
"T=50",0.0155921288548633,0.0167782494770345,0.0943456245997287,0.10681007310907
"T=50",0.0163522997492102,0.0168119531260241,0.0857884065229383,0.0998278703179922
"T=100",0.00741071190250834,0.00587518158495908,0.0226961737746871,0.0165024366616712
"T=100",0.0122440785597014,0.0109497397445061,0.0868121643501652,0.0977252152774202
"T=100",0.012884488517375,0.0115681879656043,0.0819418566272732,0.093623498664
