"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.00897389031363162,0.00450354742212961,0.0191214353022516,-0.00625671189451597
"T=30",0.0184450651811888,-0.000816070318692636,0.0982895195769525,0.106147614994803
"T=30",0.0195873976170095,0.00194664514661155,0.0999010892029076,0.105945762475891
"T=50",0.00988362081570126,0.00619819664365387,0.0224599815813807,-0.00975874955552849
"T=50",0.0121675410577886,-9.29846699440229e-05,0.0984491921334734,0.105476158344525
"T=50",0.0152190922741679,0.0042894854493469,0.0922702198092013,0.0807941725512971
"T=100",0.0093403311526684,0.00591347009787746,0.022607248199595,-0.0121879647833009
"T=100",0.0131206739822794,0.00591930231919303,0.0947522270283381,0.103379613292365
"T=100",0.0131074475168731,0.00607826445982532,0.0885177975040707,0.0802192077115138
"T=30",0.0133114874964523,0.0161326168380946,0.0250342197250278,0.0319936191439212
"T=30",0.0394050184840044,0.0619917408100479,0.115830825653508,0.155236201002993
"T=30",0.0420206550935804,0.059005359598989,0.117392969501428,0.154211126088895
"T=50",0.0123174677301549,0.0119454644301244,0.0257809122982755,0.0230935832196203
"T=50",0.0300519258869404,0.0405497812655851,0.108757496570396,0.136192869024175
"T=50",0.0315844546710483,0.0409741324023716,0.103703861554916,0.117390933724867
"T=100",0.0104108219425621,0.00844911631987008,0.0241229707995103,0.0199549792625478
"T=100",0.0215920432029094,0.0247765711445731,0.101252637446361,0.125829965478637
"T=100",0.0230665503657288,0.0275985052932287,0.0955123821958615,0.105053383863587
