,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.017964943,-0.002802792,-0.017202173,-0.031045548
T=30,-0.015774368,-0.007817728,0.056359872,0.095532149
T=30,-0.01369827,-0.009321587,0.056345455,0.078891588
T=50,-0.015348845,-0.005153142,-0.0126819,-0.039720708
T=50,-0.008381182,-0.008127919,0.05586472,0.08961325
T=50,-0.00861337,-0.008546027,0.053290672,0.065775076
T=100,-0.012698347,-0.005565332,-0.011385064,-0.043082256
T=100,-0.010180039,-0.008798705,0.053914581,0.07953094
T=100,-0.010372739,-0.00935085,0.051832484,0.058792385
T=30,0.022027068,0.02294523,0.026028098,0.049921886
T=30,0.04731789,0.085256677,0.091439156,0.16865043
T=30,0.049542634,0.082918507,0.093282467,0.163650926
T=50,0.017856035,0.015436823,0.01852471,0.050154994
T=50,0.035772792,0.058348557,0.081790628,0.136527644
T=50,0.036878198,0.05994329,0.078673189,0.121896472
T=100,0.014013502,0.010243707,0.014906128,0.046639369
T=100,0.025576367,0.036807517,0.069562561,0.112004696
T=100,0.026176708,0.036725901,0.067205598,0.099522784
