,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.024705698,-0.009139782,-0.024007622,-0.038548295
T=30,-0.014601486,-0.012328318,0.056683192,0.100290989
T=30,-0.012469448,-0.01084492,0.058594204,0.097375227
T=50,-0.021970886,-0.01106682,-0.020774494,-0.047014764
T=50,-0.017779213,-0.017199976,0.054897484,0.079253534
T=50,-0.015575118,-0.014291742,0.053080459,0.066417836
T=100,-0.019336516,-0.011810146,-0.017256115,-0.050742705
T=100,-0.015832876,-0.011664083,0.055038563,0.083810814
T=100,-0.015711973,-0.013381125,0.053248594,0.062449219
T=30,0.028972904,0.028200503,0.031368874,0.056875928
T=30,0.057918669,0.10047589,0.097495796,0.183443456
T=30,0.062488955,0.105673028,0.101418084,0.177433884
T=50,0.024142588,0.019106519,0.025911543,0.055864371
T=50,0.043583983,0.069551294,0.080480584,0.145220311
T=50,0.043813002,0.069930982,0.08524987,0.129341
T=100,0.020499753,0.01552707,0.020181799,0.054641962
T=100,0.032193785,0.041974173,0.072500402,0.119991549
T=100,0.033563351,0.045935451,0.0717136,0.105219677
