,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.020079201,-0.00557692,-0.019218275,-0.027375377
T=30,0.01306145,0.003319136,0.060693067,0.104296964
T=30,0.010650592,-0.006816311,0.064157453,0.095414926
T=50,-0.016119128,-0.005055388,-0.015984197,-0.036888031
T=50,0.007598927,-0.006822669,0.061723916,0.085423075
T=50,0.008426901,-0.006549495,0.058412796,0.071111441
T=100,-0.013263254,-0.006422267,-0.011439174,-0.039536335
T=100,-0.000339166,-0.008416639,0.057958445,0.081764899
T=100,-0.000803259,-0.007080013,0.055220949,0.058957053
T=30,0.026343103,0.031757914,0.028044594,0.050901115
T=30,0.065849734,0.120038968,0.103133892,0.18370636
T=30,0.064710478,0.11924999,0.107694896,0.179488234
T=50,0.019755348,0.020424444,0.021837894,0.047357181
T=50,0.048371719,0.086743653,0.090868989,0.143829545
T=50,0.047979709,0.082281639,0.088678582,0.1349316
T=100,0.015209003,0.013532088,0.015201469,0.043901956
T=100,0.031139806,0.052005062,0.076282038,0.116940173
T=100,0.031707656,0.052239569,0.072815768,0.101412995
