"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.0112967675847711,0.00778339733879226,0.0165780255842596,-0.000505118778426222
"T=30",0.0326711130245449,0.00657303952789283,0.0994306297689394,0.118677862531271
"T=30",0.0356526692171725,0.00710762393464104,0.103535945521469,0.0997251739300043
"T=50",0.0116640233723152,0.00720455479498412,0.0199435834102273,-0.00678466086533318
"T=50",0.0242414668551137,0.00087213376410179,0.0980698153222566,0.107057026273388
"T=50",0.0255583293652469,0.00275895526981063,0.0975723360866298,0.086827549879331
"T=100",0.0101805110340829,0.00606205548544905,0.0204364195824824,-0.010601882199344
"T=100",0.0199419438553359,0.00677578941583813,0.0982857374148051,0.102069937533684
"T=100",0.0193786780475126,0.0050436201654714,0.0930489195719096,0.079725611503944
"T=30",0.0171885132734945,0.0253460731697404,0.0234462322046298,0.0322151248960555
"T=30",0.0578908236079701,0.0906105702193342,0.120501426547489,0.16665069351911
"T=30",0.0597427935510417,0.0906207223637778,0.12119724612782,0.152807833737883
"T=50",0.0150512642626045,0.0167004786988794,0.0236896761299949,0.024130830914953
"T=50",0.0414419233983645,0.0602559079793241,0.110605554871498,0.140875002573416
"T=50",0.0430607350604484,0.0583719349807338,0.112221974009394,0.125353460861715
"T=100",0.0118549843937823,0.0108881434215724,0.0221592167722908,0.0180501759825449
"T=100",0.0319609703431694,0.0402037575476335,0.106210355930071,0.122151744131125
"T=100",0.0316930428319287,0.0392784077942016,0.100974222440549,0.105865256544274
