,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.016669498,-0.004847322,-0.019091824,-0.029306937
T=30,0.00579788,-0.009050547,0.058488686,0.088260894
T=30,0.00880128,-0.007189907,0.059585437,0.083379452
T=50,-0.015121727,-0.005856778,-0.014040441,-0.03627887
T=50,-0.006071687,0.002010379,0.060399541,0.087745091
T=50,-0.00599485,0.006041955,0.056225814,0.077944083
T=100,-0.011480948,-0.006820208,-0.011957091,-0.042125436
T=100,-0.004914596,-0.0002682,0.058795021,0.082705367
T=100,-0.005609428,-0.000530244,0.059322522,0.063668553
T=30,0.020663461,0.022942039,0.024849813,0.044522483
T=30,0.044373232,0.083996742,0.086094195,0.146121711
T=30,0.046388399,0.083125929,0.08953518,0.147702052
T=50,0.017266656,0.015514543,0.018421825,0.043495364
T=50,0.032254759,0.052605594,0.080170704,0.136764663
T=50,0.036266126,0.061216543,0.074755516,0.123103952
T=100,0.0127777,0.010715001,0.014232048,0.045378366
T=100,0.022939946,0.033993282,0.069445987,0.111581849
T=100,0.022748433,0.036849606,0.072557605,0.10313389
