"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.0155949392228618,0.0120161273644985,0.0160898318513404,0.00494089526006441
"T=30",0.0409923929699884,0.0115064752828333,0.104503836673399,0.118445661264047
"T=30",0.0429142248849997,0.00492631585832655,0.106347478089776,0.130931868974558
"T=50",0.0135658411200855,0.00661662765417449,0.0199085951314735,-0.00465897466399557
"T=50",0.0291712255271302,-0.000332666236051062,0.0979857458481318,0.11114680922629
"T=50",0.0314016674945425,0.00223658036435654,0.0967721539148065,0.0867865176370508
"T=100",0.0131842186548981,0.00655205404926249,0.021388412268561,-0.00918195134131297
"T=100",0.0246561832253032,0.00416336054414362,0.0949853201702261,0.0996602142937358
"T=100",0.0255038997215119,0.00487222691002519,0.0975098671276372,0.0834831417697838
"T=30",0.0229246618190786,0.0335532459313817,0.0258523553582009,0.0386422067839613
"T=30",0.0754457146562386,0.118451416393191,0.136760986143585,0.185250127822034
"T=30",0.0771163367913291,0.122922121295697,0.133420364343473,0.198492312694266
"T=50",0.0175082783266164,0.0200673368045154,0.0252137749927212,0.0276010346686781
"T=50",0.0533390167631655,0.0767859036706997,0.11781204476338,0.152584261307736
"T=50",0.0562505919923726,0.0780689030656274,0.118369294318075,0.136444956217358
"T=100",0.0152509244554784,0.0142070185427791,0.0239697434082782,0.0195217680175263
"T=100",0.038126198782981,0.0485354268372212,0.107857800951343,0.131306268107223
"T=100",0.0404205471755845,0.0494693920884838,0.109976555804928,0.114415621900348
