"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.0120168278587191,0.00556878335536256,0.0195371035460223,-0.00479588956280194
"T=30",0.0240573340133057,-0.00170591999001875,0.100598667438817,0.120914041015893
"T=30",0.0237972445880463,-0.00447214375388938,0.099252057782261,0.107149640719639
"T=50",0.0123610691363139,0.00610961298108989,0.0215771091584531,-0.00768929712976317
"T=50",0.019241436808831,0.00217469143774816,0.100211617373604,0.105806987505435
"T=50",0.0196071449293118,0.00191689264869649,0.0971774239490424,0.0889629675600185
"T=100",0.0115310358195873,0.00629453060505148,0.0230421832090891,-0.0122685526778783
"T=100",0.0149899480990699,0.00480742974410384,0.0951517558424221,0.101481384500019
"T=100",0.0158542886208685,0.00593506202463002,0.0921886054214361,0.0831112963289415
"T=30",0.0175647924616402,0.0239390006606561,0.0272758455463931,0.0364103281550352
"T=30",0.0525069424440845,0.0808265472768921,0.125220833255381,0.174179609255832
"T=30",0.0533519173251553,0.0830711670820027,0.125212247620668,0.169767269444747
"T=50",0.0154728070602619,0.0156744008343538,0.026101846686029,0.0274126700963715
"T=50",0.0380563849984147,0.0550199388061716,0.117536224428908,0.143647471283921
"T=50",0.0401302501616575,0.0553774964100472,0.113761415737773,0.133846272492961
"T=100",0.0130058358040834,0.0104947467766979,0.0252841104177752,0.0217190346370724
"T=100",0.0272257413284947,0.0354061466565041,0.105079880623941,0.125620589687839
"T=100",0.028846177328634,0.036392849153052,0.102519527441473,0.111469655673544
