,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.02292121,-0.011092129,-0.024972395,-0.043467098
T=30,-0.016284775,-0.01303851,0.05679635,0.084941993
T=30,-0.011584433,-0.009492256,0.057931326,0.092923084
T=50,-0.019422854,-0.011323372,-0.020740037,-0.049259319
T=50,-0.015629028,-0.014414817,0.053422715,0.077857217
T=50,-0.0136894,-0.013900409,0.047419032,0.07110019
T=100,-0.01752908,-0.01207203,-0.017467191,-0.05052341
T=100,-0.014569639,-0.010310581,0.054098529,0.07532385
T=100,-0.015438513,-0.012246067,0.048016105,0.058602776
T=30,0.025333779,0.022313387,0.029932455,0.055908685
T=30,0.042701841,0.071058309,0.08536422,0.148839251
T=30,0.044601908,0.071945672,0.086007309,0.150023443
T=50,0.021031539,0.016604615,0.024171427,0.055468546
T=50,0.034773119,0.050147942,0.073924883,0.120262372
T=50,0.033839807,0.051143756,0.067990422,0.118771883
T=100,0.018392908,0.014313421,0.019595211,0.053630786
T=100,0.026407373,0.032338001,0.066780115,0.107486003
T=100,0.026406126,0.033393614,0.061137637,0.096192863
