,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.013171483,-0.004244808,-0.017583522,-0.040467535
T=30,-0.006063517,-0.003114101,0.060288028,0.095314772
T=30,-0.00483781,0.000695514,0.061877628,0.100507567
T=50,-0.011115304,-0.005568198,-0.013041271,-0.043103045
T=50,-0.006673186,-0.005615671,0.053495634,0.073693519
T=50,-0.008129123,-0.005756025,0.055128538,0.068699565
T=100,-0.009494857,-0.005976976,-0.01115971,-0.043577323
T=100,-0.003850271,-0.001615557,0.052516957,0.074486742
T=100,-0.006062639,-0.005724725,0.049474127,0.074520015
T=30,0.014922612,0.011945778,0.021677412,0.049963026
T=30,0.02640956,0.039390988,0.076315732,0.134969192
T=30,0.024706834,0.038837978,0.07926718,0.13639758
T=50,0.012093736,0.008415244,0.016507431,0.046632239
T=50,0.018861379,0.027153355,0.064948746,0.099272256
T=50,0.02132008,0.029344251,0.065810382,0.103755112
T=100,0.010136329,0.007462952,0.01292976,0.045878155
T=100,0.01297888,0.016976058,0.0578114,0.096017798
T=100,0.013762769,0.016624455,0.057412608,0.099775368
