,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.008856223,-0.005965027,-0.00444247,-0.029016704
T=30,-0.002696385,-0.00219298,0.058626906,0.081175906
T=30,0.000825266,-0.006941923,0.062709271,0.073059638
T=50,-0.007799814,-0.006028976,-0.002544546,-0.033227429
T=50,-0.005930342,-0.003328168,0.062984219,0.071227369
T=50,-0.009183097,-0.003838081,0.06125626,0.067490636
T=100,-0.006779611,-0.005944743,-0.000502731,-0.033879482
T=100,-0.007322903,-0.005636425,0.059987995,0.074526175
T=100,-0.007748797,-0.004842642,0.052547047,0.065710406
T=30,0.010228803,0.00975443,0.012728151,0.037057248
T=30,0.019073131,0.032378757,0.07000437,0.119503581
T=30,0.021819457,0.030961897,0.073853818,0.11227788
T=50,0.008866198,0.00817408,0.008408577,0.036850843
T=50,0.013270538,0.019619461,0.068984173,0.098972962
T=50,0.01633026,0.023104436,0.068250678,0.091095974
T=100,0.007297555,0.006819839,0.005617621,0.035804218
T=100,0.010784489,0.014341783,0.064233622,0.096534527
T=100,0.010345407,0.014421801,0.056682641,0.087397252
