"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",0.00939353755986611,0.00467474536831923,0.0213398443925148,-0.00624466781997199
"T=30",0.017346492091506,-0.00147438289243834,0.0893512077826675,0.0914048594089768
"T=30",0.0183474008440583,-0.00073911149926637,0.0856106540050681,0.0849865505942793
"T=50",0.00891518278665178,0.00497590638616146,0.0218037360766978,-0.0115630573167557
"T=50",0.015365829740945,0.00209273721070972,0.0839917021388954,0.0861012794878933
"T=50",0.0156686177338866,0.00216821700954644,0.0793916307371335,0.0769447630735691
"T=100",0.00885521828398089,0.00538747525086708,0.0219934440964119,-0.0131554348969604
"T=100",0.0125222478756002,0.00395837346964035,0.0853186490663199,0.0873251791445193
"T=100",0.0126478669398599,0.00420103883464544,0.0793232478057217,0.0738325411564916
"T=30",0.0122535802399306,0.0133746322193151,0.025494443479152,0.0268343587712304
"T=30",0.0279910161219693,0.0377893802930632,0.103521828302148,0.13483577331003
"T=30",0.0300359262518302,0.0420103002788209,0.0983942153676938,0.12035245129882
"T=50",0.010586351694853,0.00945325603423431,0.0244586273697157,0.0213935590733413
"T=50",0.0223004357819961,0.0253152274337127,0.0929426768891476,0.110946656575405
"T=50",0.0231608701532993,0.026416331223657,0.0887370555200181,0.106534685991743
"T=100",0.00964035674418507,0.00735644566799661,0.0232132803496351,0.0183531462464529
"T=100",0.016550637024969,0.0165852492027228,0.0910724758039624,0.104762813001088
"T=100",0.0172567681968828,0.017260092329766,0.0849813023786532,0.0930033190252365
