,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.007187157,-0.008807741,-0.005130827,-0.026578559
T=30,-0.017106797,0.000714056,0.063025789,0.091248838
T=30,-0.012964578,0.004398502,0.062832677,0.079714894
T=50,-0.006933672,-0.007610389,-0.002499053,-0.031042641
T=50,-0.012762166,-0.001076858,0.060071161,0.081097574
T=50,-0.012474209,-0.000173656,0.056622616,0.063451636
T=100,-0.006873709,-0.006762911,-0.001118495,-0.033136078
T=100,-0.006476141,-0.001800084,0.058589587,0.076225581
T=100,-0.007714224,-0.002032032,0.054109511,0.059950542
T=30,0.013833723,0.019925956,0.01722815,0.0424906
T=30,0.036512446,0.066131643,0.088367444,0.148929748
T=30,0.041693437,0.070863597,0.091230601,0.139943678
T=50,0.011199964,0.014103951,0.012440981,0.03887995
T=50,0.026954448,0.04466006,0.07795846,0.120755516
T=50,0.028272648,0.047753839,0.074085008,0.107692774
T=100,0.008576292,0.009759604,0.00843836,0.03686009
T=100,0.018077377,0.026941931,0.069704054,0.10162523
T=100,0.019274691,0.02817855,0.066279536,0.091073144
