"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",-0.00316625332682926,0.00223517829071518,-0.000482699176832629,-0.0138591104619616
"T=30",0.0216852753365419,0.00448455538401548,0.0775455040496888,0.0904369466047421
"T=30",0.0226930218763317,0.00393749285932435,0.0781537220053828,0.0892441082061456
"T=50",-0.00102143519249577,0.000493191167349901,0.00197537603868806,-0.0235768578007238
"T=50",0.0121010174696294,-0.00524914014966533,0.0748007467842155,0.0836924375830664
"T=50",0.013520876838668,-0.00408974974868581,0.0688530486081929,0.0758980258223437
"T=100",-0.00011761785630358,0.000122979897687724,0.00434743358803464,-0.0241414275691917
"T=100",0.00807121497521868,-0.00127849329596432,0.0699352699521916,0.0750196429233732
"T=100",0.00966918635502948,0.00133430242729539,0.0676916943167761,0.0729937936620337
"T=30",0.0124795473218314,0.0210909256130665,0.0146432913578119,0.0317371395754354
"T=30",0.046367137586104,0.0718299439495413,0.0964944730828723,0.140905538634688
"T=30",0.0486290412974424,0.0777626966540571,0.0965382291861404,0.138649371791698
"T=50",0.00799474593660039,0.0124021979731874,0.010705963362503,0.0313287632931135
"T=50",0.0320681744088358,0.0505461899915381,0.0875128584713223,0.116275067377623
"T=50",0.0330552079533391,0.0507294950119975,0.0819361466677361,0.110759419927823
"T=100",0.00525149546489697,0.00783274118069227,0.00883995125634612,0.0280211206936627
"T=100",0.0205153916765849,0.0295866292583863,0.0780455795100474,0.0992841472614802
"T=100",0.0227039579733147,0.0299960515101836,0.0755299166540841,0.099693643802597
