"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",-0.00348635749112943,0.000594386326293009,-0.00214196154572321,-0.01742255431319
"T=30",0.0139247904732421,-0.00591644994065255,0.0740317170121954,0.0912780535428254
"T=30",0.0199508146012042,0.00293386804157696,0.0769558250299676,0.0921566741096977
"T=50",-0.00130944825558488,0.000887850604537541,0.00168232908950468,-0.0231041291111224
"T=50",0.00601056566202277,-0.00380350863008283,0.0698538432343521,0.0794975070487587
"T=50",0.00788182677565661,-0.00286453630553278,0.0710243112576184,0.0665640348623828
"T=100",-0.000742991885390975,8.54862401570344e-06,0.00367184700528394,-0.0252595213776047
"T=100",0.00606577837282299,-0.00205267367985989,0.0709530908917987,0.0907504276177746
"T=100",0.00578209768150297,-0.000649216518413813,0.0680012792620595,0.0676946785652821
"T=30",0.00934501440537825,0.0139132132184458,0.011359328056307,0.0283583727209461
"T=30",0.0337419809061932,0.0498462373613833,0.0834238631315286,0.131674029867314
"T=30",0.0346809882940338,0.0469268327822688,0.0900851550608313,0.127706621815277
"T=50",0.00543077988801325,0.00763509374534948,0.00937961517316936,0.0275123738570043
"T=50",0.0222489403483555,0.0326747961320332,0.0765316279979562,0.107005645781352
"T=50",0.0206840473891853,0.0287986676003164,0.0793574729793904,0.102710990175358
"T=100",0.00396032316826435,0.0050521331385155,0.0069760267273901,0.0278221955669922
"T=100",0.0152313700757513,0.0206200953917471,0.0752536239246847,0.107238926068917
"T=100",0.0149669390335696,0.0199351188976437,0.0725071453309944,0.0893194638272522
