"","Twostep","SPJ","CCE","SPJ_chen"
"T=30",-0.00237579348429581,0.00179425330986263,0.000965456437136198,-0.0193983908156108
"T=30",0.00302750385197607,-0.00325661054357867,0.0755034217842997,0.0873556993205694
"T=30",0.00377368745445057,-0.00703034858398048,0.0722153103970068,0.0870734200632852
"T=50",-0.00123083001919998,0.000970259503236135,0.00318948810904704,-0.0280460657754675
"T=50",-0.000235333269840163,-0.003947929510717,0.0711306821944497,0.0837686558166902
"T=50",0.00337452688475174,-0.0002135768051548,0.0696755265935299,0.0729500125418848
"T=100",-0.000661945300815279,0.000254373038503557,0.00609905973945978,-0.0266650106353946
"T=100",0.00129579020087726,0.000230084447362345,0.0681261086461255,0.0799563948629521
"T=100",0.00250924894439235,-0.000123934853418706,0.0639438819719126,0.0692354450997965
"T=30",0.0072925305871649,0.00935383244919117,0.0118298252160611,0.030356054952249
"T=30",0.0241766271823844,0.0384226153062258,0.0852492306826017,0.121246210682764
"T=30",0.0254785526794907,0.036480200773094,0.0846961606000438,0.117118895485082
"T=50",0.00463487233600635,0.0057054029202925,0.00923986039392903,0.0325233826130329
"T=50",0.0166258781347989,0.0233448219186083,0.0798182983908265,0.107816359479503
"T=50",0.0163580215974177,0.0220270708668137,0.0763477078622824,0.100363418132937
"T=100",0.00296770845215517,0.00359190015609677,0.00866516100026107,0.0291284064063911
"T=100",0.0103265382491691,0.0140618676907617,0.0720419945987361,0.0970537245644054
"T=100",0.0109894247812606,0.013196654574281,0.0680848071918779,0.0911106238391467
